,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Date
33,Campoverde,41.54,12.73,50.92,76,0,3.36,1554066328
34,Bluff,-23.58,149.07,53.75,62,0,8.5,1554065821
35,Lebu,8.96,38.73,55.1,70,24,4.14,1554065819
36,Lubango,-14.92,13.49,65.36,95,0,0.11,1554066346
37,Broome,52.47,1.45,41.25,75,20,10.29,1554065878
38,Hobart,-42.88,147.33,44.49,70,20,5.82,1554065715
39,Seymchan,62.93,152.39,2.18,65,0,5.93,1554066347
40,Faanui,-16.48,-151.75,83.63,100,36,5.93,1554065876
41,Arlit,18.74,7.39,78.23,26,8,2.91,1554066249
42,Nanortalik,60.14,-45.24,27.2,100,20,26.17,1554065873
43,Tari,12.41,4.49,82.19,50,32,3.13,1554066347
44,Carnarvon,-30.97,22.13,64.46,27,8,12.19,1554065823
45,Juneau,58.3,-134.42,53.91,50,20,9.17,1554062160
46,Saint George,39.45,22.34,46.31,66,0,3.02,1554065400
47,Albany,42.65,-73.75,40.08,60,75,23.04,1554065740
48,Khatanga,71.98,102.47,29.72,91,80,12.19,1554065880
49,Port Lincoln,-34.72,135.86,55.28,100,36,2.13,1554066326
50,Muzhi,65.4,64.7,20.36,71,24,12.19,1554066348
51,Thompson,55.74,-97.86,28.4,50,90,14.99,1554062400
52,Busselton,-33.64,115.35,69.37,41,44,15.21,1554065704
53,Ancud,-41.87,-73.83,57.2,100,90,5.82,1554062400
54,Kota Belud,6.35,116.43,75.06,88,75,4.7,1554066016
55,Nalut,31.86,10.98,58.97,56,92,12.64,1554066349
56,Aswan,24.09,32.9,56.09,53,0,7.05,1554066068
57,Longyearbyen,78.22,15.63,5.0,77,40,3.36,1554063600
58,Breves,-1.68,-50.48,77.15,99,88,4.03,1554066351
59,Grindavik,63.84,-22.43,32.77,100,75,5.82,1554065515
60,Tyret Pervaya,53.67,102.31,23.15,79,12,2.8,1554066351
61,Chapada dos Guimaraes,-15.46,-55.75,96.8,53,40,4.7,1554062400
62,Kudahuvadhoo,2.67,72.89,83.81,100,0,2.91,1554065863
63,Kaitangata,-46.28,169.85,64.0,46,0,21.99,1554065753
64,Linqu,36.52,118.54,45.0,32,36,4.36,1554066171
65,Petawawa,45.89,-77.27,32.32,62,90,8.05,1554066012
66,Palmer,61.6,-149.11,44.98,56,40,2.35,1554066090
67,Pevek,69.7,170.27,-0.26,77,0,3.69,1554066045
68,Saskylakh,71.97,114.09,21.53,85,56,15.43,1554065831
69,Port Alfred,-33.59,26.89,69.5,93,88,5.37,1554066200
70,Alice Springs,-23.7,133.88,50.0,46,0,5.59,1554064200
71,Strzelin,50.78,17.07,42.73,70,0,6.93,1554066297
72,Bacolod,10.68,122.95,70.58,79,0,9.28,1554066353
73,Uvira,-3.41,29.14,63.38,100,44,1.57,1554066353
74,Zaraza,9.35,-65.33,95.06,38,20,12.64,1554066353
75,Dawei,14.07,98.19,71.48,95,0,2.35,1554066354
76,Inhambane,-23.87,35.38,71.21,100,0,6.38,1554066354
77,Qaanaaq,77.48,-69.36,-1.7,78,32,4.36,1554065816
78,The Valley,18.22,-63.06,79.77,74,20,13.87,1554066094
79,Padang,-0.92,100.36,82.37,100,8,1.9,1554065911
80,Dikson,73.51,80.55,28.28,93,88,24.83,1554065816
81,Salalah,17.01,54.1,78.8,74,40,4.7,1554061800
82,Muros,42.77,-9.06,57.67,47,20,4.7,1554065816
83,Tasiilaq,65.61,-37.64,23.0,85,68,32.21,1554061800
84,Provideniya,64.42,-173.23,27.65,100,64,8.61,1554065847
85,Jamestown,-33.21,138.6,38.36,82,8,2.68,1554065820
86,Namatanai,-3.66,152.44,80.75,100,64,12.3,1554065905
87,San Vicente,13.64,-88.78,89.6,59,40,10.29,1554061800
88,Nivala,63.93,24.96,28.0,84,20,7.0,1554066312
89,Aratoca,6.69,-73.02,80.6,69,40,8.05,1554062400
90,San Patricio,-26.98,-56.83,85.97,67,88,3.47,1554066357
91,Sitka,37.17,-99.65,50.0,30,8,5.01,1554065146
92,Gao,16.28,-0.04,84.8,23,56,4.14,1554065813
93,Ponta do Sol,-20.63,-46.0,77.33,53,0,2.91,1554066358
94,Vasai,22.43,69.93,69.68,84,0,8.84,1554066358
95,Udachnyy,66.42,112.4,24.59,79,44,5.82,1554065829
96,Kodiak,39.95,-94.76,43.68,14,1,8.05,1554065748
97,Kavaratti,10.57,72.64,83.72,100,0,11.74,1554066056
98,Antofagasta,-23.65,-70.4,66.2,77,75,18.34,1554062400
99,Dhidhdhoo,6.88,73.1,84.44,100,0,0.78,1554065740
100,Namibe,-15.19,12.15,78.59,99,0,6.93,1554065908
101,Vaini,15.34,74.49,68.33,92,0,2.57,1554065820
102,Port Macquarie,-31.43,152.91,50.94,81,0,5.82,1554066005
103,Nome,30.04,-94.42,52.72,54,40,14.99,1554065892
104,Georgetown,6.8,-58.16,86.97,74,40,13.87,1554062400
105,Nusaybin,37.08,41.21,51.8,81,75,9.17,1554062400
106,Beringovskiy,63.05,179.32,31.79,99,76,13.53,1554065912
107,Nyurba,63.29,118.35,17.48,77,20,3.24,1554065872
108,Siderno,38.28,16.3,53.55,82,5,3.36,1554066291
109,Meulaboh,4.14,96.13,78.95,100,92,1.34,1554066361
110,East London,-33.02,27.91,73.73,100,76,5.7,1554066082
111,Rawson,-43.3,-65.11,83.72,25,0,7.72,1554065833
112,Puerto Ayora,-0.74,-90.35,82.81,70,20,13.87,1554066016
113,Opuwo,-18.06,13.84,68.33,73,64,3.91,1554066362
114,Vredendal,-31.68,18.49,57.44,77,0,5.93,1554066291
115,Geraldton,49.72,-86.95,30.2,33,75,11.41,1554062400
116,Tefe,-3.35,-64.71,91.4,59,20,6.93,1554062400
117,Bandarbeyla,9.49,50.81,78.95,100,92,7.27,1554065886
118,Tuy Hoa,13.08,109.3,73.91,100,12,3.58,1554066362
119,Bulgan,48.81,103.53,25.13,64,88,2.68,1554065918
120,Tuktoyaktuk,69.44,-133.03,24.8,92,90,21.92,1554062400
121,Dumalaguing,8.35,125.06,68.0,85,0,8.01,1554066046
122,Aklavik,68.22,-135.01,35.6,80,90,17.22,1554065280
123,Raudeberg,61.99,5.14,34.47,86,75,11.41,1554066303
124,Leningradskiy,69.38,178.42,5.06,78,8,6.6,1554065825
125,Lorengau,-2.02,147.27,82.55,99,92,10.4,1554065849
126,Mount Isa,-20.73,139.49,59.0,54,0,5.82,1554064200
127,Constitucion,23.99,-104.67,75.54,14,40,3.36,1554065416
128,Newton,41.7,-93.05,42.48,33,1,8.05,1554066332
129,Kieta,-6.22,155.63,78.95,100,24,4.14,1554065840
130,Barrow,-38.31,-60.23,82.28,34,48,7.16,1554065846
131,Auki,12.18,6.51,78.5,28,0,7.61,1554066365
132,Bambous Virieux,-20.34,57.76,75.99,83,40,3.36,1554066242
133,Knin,44.04,16.2,50.61,62,0,2.24,1554066074
134,Lavrentiya,65.58,-170.99,26.93,100,48,3.13,1554065817
135,Lohne,52.78,11.48,39.34,58,0,7.05,1554066336
136,Saravan,39.72,45.65,39.88,65,90,13.87,1554064200
137,Xacmaz,41.46,48.81,34.4,90,80,4.36,1554066366
138,Klyuchi,52.25,79.17,38.36,55,36,8.95,1554066113
139,Ribeira Grande,38.52,-28.7,57.2,62,75,9.17,1554062400
140,Saint-Ambroise,47.25,-0.65,54.07,54,0,5.82,1554066126
141,Saint-Philippe,45.36,-73.48,35.22,80,90,8.05,1554065818
142,Gat,14.69,-16.54,69.8,60,0,20.8,1554064200
143,Torbay,47.66,-52.73,44.92,71,40,11.41,1554065185
144,Komatipoort,-25.43,31.96,68.43,94,0,3.36,1554066061
145,Ilulissat,69.22,-51.1,17.6,67,48,10.29,1554061800
146,Wanning,48.64,13.53,49.57,50,20,8.05,1554066028
147,Doka,13.52,35.76,74.63,25,0,10.96,1554066368
148,Jalu,29.03,21.55,57.26,43,20,10.07,1554066196
149,Alpena,45.06,-83.43,28.96,46,1,17.22,1554066091
150,Batemans Bay,-35.71,150.18,44.26,93,0,1.01,1554066045
151,Nikolskoye,59.7,30.79,33.57,85,75,17.9,1554065777
152,Sao Geraldo do Araguaia,-6.4,-48.55,79.31,89,76,6.38,1554066369
153,Bilibino,68.06,166.44,0.38,61,0,2.24,1554065942
154,Gamba,28.28,88.52,-5.93,39,12,1.9,1554066183
155,Oksfjord,70.24,22.35,27.14,92,75,40.26,1554066308
156,Baisha,19.23,109.45,68.78,96,24,2.35,1554066369
157,Butaritari,3.07,172.79,82.55,100,68,15.43,1554066166
158,Kilindoni,-7.91,39.67,84.89,100,56,11.07,1554066370
159,Verkhnevilyuysk,63.45,120.31,13.34,70,20,2.68,1554065883
160,Kapaa,22.08,-159.32,77.72,65,75,12.75,1554066197
161,Pisco,-13.71,-76.2,71.6,30,40,27.51,1554062400
162,Bethel,60.79,-161.76,40.06,70,1,3.36,1554062160
163,Virginia Beach,36.85,-75.98,49.46,93,90,8.05,1554066143
164,Turan,52.15,93.92,14.78,71,0,1.9,1554066372
165,Yulara,-25.24,130.99,55.4,62,0,6.93,1554062400
166,Kodinsk,58.6,99.18,31.16,99,32,3.91,1554066023
167,Luderitz,-26.65,15.16,62.66,78,0,17.78,1554065909
168,Chuy,-33.69,-53.46,72.56,85,8,7.83,1554065785
169,Erenhot,43.65,111.97,18.29,63,0,4.81,1554066372
170,Chokurdakh,70.62,147.9,9.65,70,36,2.91,1554065830
171,Micheweni,-4.97,39.83,83.18,100,68,8.61,1554066351
172,Bure,10.52,10.33,76.25,45,0,3.13,1554066373
173,Marzuq,14.4,46.47,53.3,68,0,3.69,1554065911
174,Avarua,-21.21,-159.78,82.4,88,92,6.93,1554064200
175,Sao Filipe,14.9,-24.5,71.3,95,0,15.99,1554066373
176,Requena,39.49,-1.1,52.48,82,75,11.41,1554066247
177,Port Hardy,50.7,-127.42,44.6,81,20,6.93,1554062400
178,Port Elizabeth,39.31,-74.98,53.94,57,90,8.05,1554066149
179,Longyan,25.1,117.03,56.45,94,92,2.01,1554066374
180,Namalenga,-10.95,39.1,74.99,84,20,3.58,1554066374
181,Klaksvik,62.23,-6.59,42.8,87,88,8.05,1554063600
182,Flinders,-34.58,150.85,56.37,82,75,5.82,1554066306
183,Bredasdorp,-34.53,20.04,58.42,82,76,11.41,1554065163
184,Mantua,45.16,10.79,54.43,65,0,5.82,1554066321
185,Saint-Pierre,48.95,4.24,52.56,32,0,5.82,1554066125
186,Kahului,20.89,-156.47,76.66,69,20,5.82,1554065683
187,Naze,5.43,7.07,80.6,88,75,3.24,1554062400
188,Poum,41.28,20.71,35.66,65,0,1.68,1554065884
189,Xapuri,-10.65,-68.5,89.6,62,20,4.7,1554062400
190,Roblin,51.23,-101.35,35.03,100,48,11.3,1554066376
191,Moultonborough,43.76,-71.4,43.52,86,90,8.05,1554066375
192,Caravelas,-17.73,-39.27,81.11,100,0,16.33,1554065851
193,Nantucket,41.28,-70.1,51.28,87,90,19.46,1554065887
194,Mehamn,71.03,27.85,28.4,92,90,35.57,1554063720
195,Nea Stira,38.18,24.2,51.39,57,20,3.36,1554066364
196,Vostok,46.45,135.83,20.27,89,80,0.56,1554066019
197,Chifeng,42.27,118.96,18.11,52,0,5.82,1554066378
198,Xining,36.62,101.77,15.68,69,8,1.9,1554066378
199,Bacalar,18.68,-88.39,84.2,54,40,11.41,1554061260
200,Coihaique,-45.58,-72.07,64.4,45,75,25.28,1554062400
201,Scarborough,54.28,-0.41,39.43,75,24,3.36,1554066065
202,Tungor,53.39,142.95,13.61,86,68,11.86,1554066379
203,Laguna,27.52,-110.01,84.2,21,5,6.93,1554061980
204,Rocha,-34.48,-54.34,76.43,72,24,4.36,1554065870
205,Atuona,-9.8,-139.03,81.38,100,92,10.96,1554065997
206,Gladstone,-23.84,151.26,65.28,68,0,4.7,1554065760
207,Upernavik,72.79,-56.15,10.91,100,64,2.35,1554065850
208,Nioro,13.79,-15.05,84.08,60,68,2.8,1554065891
209,Tutoia,-2.76,-42.27,84.2,66,75,9.17,1554062400
210,Mudkhed,19.15,77.51,71.39,68,12,3.36,1554066380
211,Kaura Namoda,12.59,6.58,81.38,25,8,9.06,1554066380
212,Nelson Bay,-32.72,152.14,54.79,81,20,8.05,1554066093
213,Lima,-12.06,-77.04,76.06,65,0,14.99,1554066137
214,Teguise,29.06,-13.56,66.2,72,20,8.05,1554064200
215,Victoria,5.28,115.24,80.31,74,75,4.7,1554064200
216,Vila Franca do Campo,37.72,-25.43,56.07,71,40,13.87,1554066160
217,Hervey Bay,-25.3,152.85,65.46,82,0,5.82,1554066335
218,Kawalu,-7.38,108.21,66.8,95,36,2.01,1554066382
219,Boysun,38.2,67.2,31.16,88,8,1.45,1554066383
220,Beyneu,45.32,55.19,32.15,80,0,2.91,1554066352
221,Chimbote,-9.08,-78.59,73.73,81,0,8.95,1554066383
222,Panguna,-6.32,155.48,77.6,90,92,4.59,1554066090
223,Bolshoye Selo,57.72,38.93,34.31,89,0,15.43,1554066383
224,Yarada,17.65,83.27,83.63,98,0,13.65,1554066383
225,Guerrero Negro,27.97,-114.04,83.63,26,0,8.5,1554066321
226,Uvat,59.14,68.9,32.33,82,88,11.41,1554066384
227,Ostrovnoy,68.05,39.51,21.71,82,0,15.21,1554065866
228,Hambantota,6.12,81.12,81.11,100,0,7.16,1554065920
229,Conroe,30.31,-95.46,53.01,58,90,16.11,1554066203
230,Esperance,10.24,-61.45,85.01,55,20,14.99,1554065289
231,Maun,-19.99,23.42,82.4,37,0,6.93,1554062400
232,Hohhot,40.81,111.65,24.8,38,0,2.24,1554062400
233,Mozarlandia,-14.74,-50.57,83.63,67,0,3.47,1554066385
234,Dinguiraye,11.29,-10.71,81.65,46,12,4.36,1554066385
235,Port Hedland,-20.31,118.58,75.2,73,0,4.7,1554064200
236,Maltahohe,-24.83,16.98,58.97,88,36,2.35,1554066038
237,Los Llanos de Aridane,28.66,-17.92,60.01,68,20,8.05,1554066013
238,Kruisfontein,-34.0,24.73,59.69,89,68,7.38,1554065820
239,Helena,46.59,-112.04,43.2,60,90,5.82,1554066193
240,Kanniyakumari,8.08,77.57,84.89,98,0,12.41,1554066386
241,Rameswaram,9.28,79.3,84.62,99,8,15.88,1554066386
242,Zhangye,38.94,100.46,30.44,71,0,5.26,1554066386
243,Katsuura,33.93,134.5,45.45,88,20,18.34,1554064460
244,Sibu,2.29,111.83,75.2,94,75,1.12,1554062400
245,Ahipara,-35.17,173.16,69.86,95,92,12.19,1554065849
246,Portobelo,9.55,-79.65,91.22,52,40,9.17,1554066081
247,Souillac,45.6,-0.6,56.86,42,0,6.93,1554065734
248,Cherskiy,68.75,161.3,-1.88,59,0,2.46,1554065877
249,Alofi,-19.06,-169.92,82.4,83,75,10.29,1554062400
250,Acapulco,16.86,-99.88,82.4,69,5,8.05,1554061620
251,San Cristobal,-0.39,-78.55,63.88,68,75,9.17,1554066075
252,Paamiut,61.99,-49.67,26.3,100,68,2.35,1554066388
253,Grand Gaube,-20.01,57.66,76.19,83,40,3.36,1554066242
254,La Ronge,55.1,-105.3,32.0,53,20,16.11,1554062400
255,Saint-Augustin,44.83,-0.61,56.91,50,0,2.57,1554065452
256,Valente,-11.41,-39.46,79.58,74,88,10.29,1554066269
257,San Carlos de Bariloche,-41.13,-71.31,73.4,33,0,20.8,1554062400
258,La Ciotat,43.17,5.6,48.15,81,0,4.7,1554066377
259,Nara,34.68,135.8,41.41,65,75,17.22,1554066003
260,Portland,45.52,-122.67,65.1,42,1,5.82,1554066125
261,Miramar,10.09,-84.73,86.86,38,40,11.41,1554062400
262,Ojinaga,29.56,-104.41,59.77,25,40,14.99,1554066073
263,Kozhva,65.11,57.05,29.09,78,68,7.83,1554066390
264,Mareeba,-16.99,145.42,72.97,88,40,6.93,1554066018
265,Ratnagiri,16.98,73.3,77.78,100,0,4.14,1554066391
266,Sijunjung,-0.69,100.95,71.12,85,92,1.9,1554065932
267,Manado,1.49,124.85,75.2,100,40,2.24,1554064200
268,Port Moresby,-9.47,147.16,75.2,100,40,5.82,1554062400
269,Tahoua,14.89,5.26,81.74,24,20,8.5,1554066025
270,Taoudenni,22.68,-3.98,64.28,55,0,6.71,1554065998
271,Araouane,18.9,-3.53,84.71,30,36,9.17,1554065873
272,Karratha,-20.74,116.85,71.66,68,32,2.91,1554065628
273,Saldanha,41.42,-6.55,55.73,56,80,3.91,1554065863
274,Hofn,64.25,-15.21,40.43,100,92,25.17,1554065565
275,Manoel Urbano,-8.84,-69.26,87.86,67,32,2.68,1554066393
276,Mahebourg,-20.41,57.7,75.9,83,40,3.36,1554065643
277,Barcelos,41.53,-8.62,58.6,76,0,5.82,1554065824
278,Cordoba,5.59,-73.79,67.43,53,32,1.34,1554066393
279,Prince Rupert,54.32,-130.32,46.4,75,1,4.7,1554062400
280,Franklin,35.93,-86.87,48.61,42,75,11.41,1554066123
281,Port Said,25.34,30.55,56.63,35,0,8.72,1554066394
282,Abu Zabad,12.35,29.25,70.76,27,0,10.18,1554066246
283,San Isidro,16.74,121.63,70.04,92,8,2.68,1554066398
284,Suluq,31.67,20.25,46.28,92,0,5.59,1554066398
285,Sobolevo,54.43,31.9,43.31,69,80,16.67,1554066039
286,Khilchipur,24.05,76.58,69.68,57,0,2.68,1554066398
287,Luba,17.32,120.7,70.76,90,48,2.68,1554066399
288,Pangnirtung,66.15,-65.72,8.6,65,75,2.24,1554062400
289,Tahe,52.34,124.71,10.37,75,0,5.37,1554066399
290,Leshukonskoye,64.9,45.76,24.77,84,0,4.47,1554066187
291,Huarmey,-10.07,-78.15,77.06,59,20,4.36,1554066020
292,Usinsk,66.0,57.56,28.64,88,80,10.96,1554066399
293,Ambilobe,-13.19,49.05,73.28,99,80,2.91,1554066096
294,Lagoa,37.14,-8.45,59.68,82,20,3.36,1554065537
295,Norman Wells,65.28,-126.83,37.4,95,90,14.99,1554062400
296,Dunedin,-45.87,170.5,61.13,53,0,17.0,1554066034
297,Fort Abbas,29.19,72.85,64.37,50,0,1.9,1554066400
298,Swan River,52.11,-101.27,35.48,64,56,6.04,1554066400
299,Neuquen,-38.95,-68.06,86.0,35,0,3.36,1554062400
300,Iqaluit,63.75,-68.52,12.11,61,75,4.7,1554065521
301,Tuatapere,-46.13,167.69,55.0,75,24,8.01,1554065406
302,Matara,-13.74,-72.9,54.92,79,44,2.35,1554066401
303,Egvekinot,66.32,-179.17,27.65,95,92,3.24,1554066113
304,Qostanay,53.17,63.58,26.6,92,0,6.71,1554064200
305,Guarapari,-20.67,-40.5,79.74,65,40,9.17,1554064452
306,Bontang,0.12,117.47,77.96,100,80,2.46,1554066116
307,Cayenne,4.94,-52.33,84.2,66,76,10.29,1554064200
308,Hualmay,-11.1,-77.61,73.91,70,12,5.26,1554065903
309,Calvinia,-31.47,19.78,52.85,61,44,7.16,1554066089
310,Marawi,8.0,124.29,68.0,85,0,8.01,1554066046
311,Gumdag,39.2,54.59,45.74,79,88,19.01,1554066402
312,Vila Velha,-3.71,-38.6,82.13,78,75,6.93,1554065887
313,Shimoda,34.7,138.93,50.78,100,0,8.61,1554066154
314,Sal Rei,16.18,-22.92,69.8,64,40,12.75,1554062400
315,Katra,32.99,74.93,46.01,75,0,2.13,1554066403
316,Tiksi,71.64,128.87,16.76,79,8,5.82,1554065906
317,Mariental,52.28,10.99,41.38,64,0,8.72,1554066349
318,Oistins,13.07,-59.53,82.4,69,40,18.34,1554062400
319,Springdale,36.19,-94.13,48.27,31,1,6.93,1554066294
320,Kasempa,-13.46,25.83,61.49,82,0,2.46,1554066405
321,Pella,41.41,-92.92,42.12,30,1,6.93,1554066066
322,Gornopravdinsk,60.06,69.92,31.34,88,88,9.73,1554066010
323,Krasnouralsk,58.36,60.04,31.34,87,48,7.16,1554066405
324,Komsomolskiy,67.55,63.78,26.93,90,64,16.67,1554065838
325,Chapais,49.78,-74.86,26.6,68,90,14.99,1554062400
326,Hasaki,35.73,140.83,33.55,80,20,3.36,1554065677
327,Coquimbo,-29.95,-71.34,66.2,72,20,14.99,1554062400
328,Kaeo,-35.1,173.78,69.01,96,92,11.97,1554064687
329,Turkan,35.6,68.92,21.08,100,0,0.67,1554066406
330,Chitral,35.85,71.79,9.38,76,0,1.23,1554065836
331,Porbandar,21.64,69.61,72.83,80,0,10.18,1554066406
332,Merrill,42.03,-121.6,57.76,30,1,10.29,1554065824
333,Vanavara,60.35,102.28,31.25,97,92,5.14,1554066091
334,Brownwood,31.71,-98.99,51.48,27,1,8.05,1554065139
335,Roebourne,-20.77,117.15,71.66,68,32,2.91,1554066407
336,San Jeronimo,-13.65,-73.37,54.92,79,44,2.35,1554066126
337,Eyl,7.98,49.82,78.41,100,88,7.72,1554066407
338,Airai,-8.93,125.41,63.2,85,0,0.56,1554065828
339,Taguatinga,-15.83,-48.06,82.4,45,20,6.93,1554062400
340,Gwadar,25.12,62.33,75.89,77,0,9.4,1554066408
341,Witu,-2.39,40.44,82.4,74,1,3.36,1554062160
342,Hamilton,32.3,-64.78,70.83,78,75,12.75,1554065220
343,Sioux Lookout,50.1,-91.92,33.8,37,75,10.29,1554062400
344,Sorland,67.67,12.69,36.74,100,92,29.19,1554066102
345,Ambatofinandrahana,-20.55,46.8,55.46,88,0,2.24,1554066408
346,Chhapra,25.78,84.75,75.2,83,40,9.17,1554064200
347,Lashio,22.93,97.75,59.87,92,12,1.9,1554066215
348,Sampit,-2.54,112.95,72.65,96,68,6.49,1554066409
349,Morden,49.19,-98.1,35.47,100,90,0.56,1554066375
350,Mandalgovi,45.76,106.27,22.25,54,44,8.95,1554066409
351,Mirador,-6.37,-44.36,80.21,80,32,4.03,1554066410
352,Harper,30.3,-99.24,54.16,32,1,6.93,1554065730
353,Svetlogorsk,53.14,59.15,33.8,80,90,11.18,1554064200
354,Nong Kung Si,16.65,103.3,75.2,83,68,2.24,1554062400
355,Rubtsovsk,51.53,81.22,43.76,86,80,8.39,1554066410
356,Rio Gallegos,-51.62,-69.22,59.0,58,0,2.24,1554062400
357,Tilichiki,60.47,166.1,33.23,91,92,10.18,1554066410
358,Batagay-Alyta,67.8,130.41,-8.45,44,0,2.13,1554066328
359,Mackenzie,55.34,-123.09,48.2,49,40,11.41,1554065820
360,Marrakesh,31.63,-7.99,59.0,67,40,8.05,1554064200
361,Isangel,-19.55,169.27,78.59,100,76,10.96,1554065871
362,Elat,2.91,11.16,74.9,88,24,2.68,1554066411
363,Moramanga,-18.95,48.23,63.56,100,32,1.34,1554066412
364,Glenwood Springs,39.55,-107.33,42.08,58,75,4.7,1554066066
365,Bermejillo,25.89,-103.62,67.05,40,20,6.93,1554066197
366,Ust-Ilimsk,57.96,102.73,33.32,97,92,4.36,1554066412
367,Mutsu,41.29,141.2,28.0,79,76,3.91,1554066008
368,Jumla,29.28,82.18,23.15,86,0,1.79,1554066413
369,Vestmannaeyjar,63.44,-20.27,36.65,100,88,7.16,1554065826
370,Ixtapa,20.71,-105.21,78.89,61,5,10.29,1554065722
371,Camacha,33.08,-16.33,59.77,72,20,9.17,1554064200
372,La Macarena,2.18,-73.79,81.56,74,12,2.01,1554066414
373,Blackfoot,43.19,-112.35,51.19,34,40,12.75,1554066083
374,Sola,58.89,5.65,33.08,69,0,10.29,1554066302
375,College,64.86,-147.8,44.04,64,1,4.81,1554065747
376,Ambon,47.55,-2.56,52.48,71,12,9.17,1554066327
377,Maumere,-8.63,122.22,79.85,100,20,3.69,1554065840
378,Lakatoro,-16.11,167.42,80.21,99,48,5.14,1554065901
379,Inirida,3.87,-67.92,83.9,79,8,2.8,1554066415
380,Ha Giang,22.83,104.99,62.03,97,92,1.68,1554066415
381,Igrim,63.19,64.42,27.38,75,0,8.16,1554066416
382,Lieksa,63.32,30.02,25.13,82,0,5.59,1554066416
383,Buala,-8.15,159.59,76.07,100,92,2.57,1554066241
384,Bubaque,11.28,-15.83,88.76,76,8,6.93,1554065848
385,Miraflores,5.2,-73.14,65.09,68,32,2.46,1554066417
386,Gariaband,20.63,82.06,71.39,63,56,6.15,1554066417
387,Bireun,5.2,96.7,81.74,100,12,4.03,1554066417
388,Adrar,27.87,-0.29,75.2,19,0,12.75,1554062400
389,Kargopol,61.51,38.95,24.05,79,0,8.72,1554066418
390,Tazovskiy,67.47,78.7,29.99,92,88,17.22,1554065871
391,Tual,-5.67,132.75,82.55,100,68,14.65,1554065906
392,Nogales,31.34,-110.94,73.33,9,1,3.36,1554066327
393,Macau,-5.11,-36.64,76.88,97,32,3.36,1554066418
394,Burhaniye,39.51,26.98,49.51,61,40,21.92,1554066130
395,Chara,39.42,22.43,47.19,61,0,8.05,1554061800
396,Adjumani,3.38,31.79,68.78,93,32,2.8,1554066419
397,Itarema,-2.92,-39.92,80.21,92,92,4.92,1554065883
398,Dicabisagan,17.08,122.42,71.12,100,64,2.46,1554066419
399,Kailua,21.39,-157.74,75.0,73,90,5.14,1554066392
400,Kishapu,-3.61,33.87,65.45,91,44,2.91,1554066420
401,Alangudi,10.36,78.99,80.6,57,0,9.4,1554064200
402,Yokadouma,3.52,15.05,74.09,89,0,2.13,1554066420
403,Sao Joao da Barra,-21.64,-41.05,80.6,61,40,13.87,1554062400
404,Ngong,-1.37,36.65,69.06,53,75,14.99,1554066129
405,Vao,59.1,26.19,29.81,83,0,10.96,1554065825
406,Rantepao,-2.97,119.9,63.74,100,48,2.24,1554066421
407,Homer,59.64,-151.54,46.56,52,1,3.36,1554065683
408,Qaqortoq,60.72,-46.03,21.2,44,0,13.87,1554061800
